Postion, Skill Rating, Game Level, K:D Ratio, Win Percentage, Time Played 
1,4562,Lv. 970,2.83 : 1,62 % ,40 hours
2,4518,Lv. 68,2.92 : 1,66 % ,29 hours
3,4451,Lv. 1230,2.82 : 1,54 % ,114 hours
4,4450,Lv. 1271,3.25 : 1,56 % ,49 hours
5,4407,Lv. 91,3.95 : 1,73 % ,61 hours
6,4385,Lv. 2458,2.53 : 1,52 % ,62 hours
7,4364,Lv. 609,2.94 : 1,41 % ,11 hours
8,4349,Lv. 423,2.9 : 1,57 % ,23 hours
9,4329,Lv. 175,3.04 : 1,53 % ,56 hours
10,4324,Lv. 84,3.22 : 1,71 % ,57 hours
11,4315,Lv. 192,2.49 : 1,56 % ,94 hours
12,4305,Lv. 1067,2.25 : 1,49 % ,18 hours
13,4263,Lv. 458,2.79 : 1,64 % ,8 hours
14,4261,Lv. 1687,2.59 : 1,53 % ,26 hours
15,4236,Lv. 1331,2.48 : 1,60 % ,30 hours
16,4229,Lv. 1336,2.81 : 1,50 % ,29 hours
17,4200,Lv. 1395,1.8 : 1,51 % ,27 hours
18,4192,Lv. 2300,2.8 : 1,53 % ,25 hours
19,4181,Lv. 443,2.48 : 1,57 % ,50 hours
20,4177,Lv. 1135,2.65 : 1,58 % ,28 hours
21,4169,Lv. 96,2.42 : 1,52 % ,4 hours
22,4168,Lv. 741,2.99 : 1,52 % ,28 hours
23,4156,Lv. 322,2.55 : 1,54 % ,100 hours
24,4145,Lv. 132,3 : 1,58 % ,29 hours
25,4131,Lv. 211,2.76 : 1,58 % ,45 hours
26,4123,Lv. 411,2.24 : 1,58 % ,29 hours
27,4120,Lv. 1715,2.02 : 1,50 % ,2 hours
28,4117,Lv. 867,2.47 : 1,51 % ,36 hours
29,4113,Lv. 142,2.19 : 1,51 % ,41 hours
30,4110,Lv. 936,2.57 : 1,54 % ,17 hours
31,4109,Lv. 1607,2.85 : 1,48 % ,42 hours
32,4108,Lv. 241,3.34 : 1,55 % ,41 hours
33,4099,Lv. 1637,2.66 : 1,48 % ,23 hours
34,4097,Lv. 460,2.3 : 1,53 % ,15 hours
35,4095,Lv. 121,2.72 : 1,33 % ,4 hours
36,4043,Lv. 236,2.84 : 1,54 % ,35 hours
37,4037,Lv. 2448,2.47 : 1,52 % ,129 hours
38,4025,Lv. 777,2.08 : 1,50 % ,113 hours
39,4013,Lv. 73,3.07 : 1,63 % ,6 hours
40,4008,Lv. 1900,2.7 : 1,65 % ,43 hours
41,4002,Lv. 76,3.66 : 1,63 % ,25 hours
42,4001,Lv. 250,1.6 : 1,33 % ,8 hours
43,3996,Lv. 251,2.79 : 1,49 % ,36 hours
44,3986,Lv. 915,2.74 : 1,51 % ,97 hours
45,3976,Lv. 2640,2.75 : 1,50 % ,10 hours
46,3972,Lv. 559,2.68 : 1,52 % ,82 hours
47,3967,Lv. 290,2.32 : 1,51 % ,11 hours
48,3966,Lv. 234,1.66 : 1,55 % ,5 hours
49,3953,Lv. 253,2.81 : 1,61 % ,57 hours
50,3939,Lv. 1690,2.19 : 1,54 % ,30 hours
51,3935,Lv. 1177,2.55 : 1,48 % ,6 hours
52,3934,Lv. 636,2.46 : 1,52 % ,9 hours
53,3930,Lv. 610,2.38 : 1,56 % ,24 hours
54,3929,Lv. 2325,3.06 : 1,60 % ,3 hours
55,3928,Lv. 416,2.9 : 1,56 % ,38 hours
56,3918,Lv. 957,2.38 : 1,49 % ,11 hours
57,3917,Lv. 1065,2.9 : 1,50 % ,23 hours
58,3915,Lv. 1416,3.3 : 1,53 % ,19 hours
59,3914,Lv. 1463,2.27 : 1,48 % ,12 hours
60,3914,Lv. 615,1.24 : 1,48 % ,45 hours
61,3905,Lv. 1841,2.37 : 1,55 % ,30 hours
62,3903,Lv. 618,2.44 : 1,55 % ,25 hours
63,3900,Lv. 1634,3.32 : 1,48 % ,35 hours
64,3892,Lv. 284,2.17 : 1,44 % ,14 hours
65,3890,Lv. 2176,2.86 : 1,47 % ,45 hours
66,3887,Lv. 455,2.54 : 1,50 % ,18 hours
67,3880,Lv. 90,2.05 : 1,45 % ,13 hours
68,3877,Lv. 287,2.79 : 1,54 % ,62 hours
69,3873,Lv. 267,2.68 : 1,64 % ,25 hours
70,3869,Lv. 158,1.38 : 1,47 % ,2 hours
71,3860,Lv. 1014,1.81 : 1,47 % ,21 hours
72,3854,Lv. 2101,2.2 : 1,51 % ,7 hours
73,3847,Lv. 2062,1.94 : 1,51 % ,116 hours
74,3845,Lv. 338,2.23 : 1,52 % ,40 hours
75,3844,Lv. 2000,1.97 : 1,47 % ,17 hours
76,3842,Lv. 1223,3.06 : 1,54 % ,36 hours
77,3835,Lv. 505,2.71 : 1,57 % ,13 hours
78,3832,Lv. 1588,2.35 : 1,49 % ,26 hours
79,3831,Lv. 1278,2.94 : 1,50 % ,71 hours
80,3821,Lv. 421,3.34 : 1,55 % ,128 hours
81,3807,Lv. 1882,2.42 : 1,49 % ,40 hours
82,3798,Lv. 894,2.51 : 1,41 % ,6 hours
83,3794,Lv. 269,2.67 : 1,51 % ,38 hours
84,3792,Lv. 289,2.84 : 1,59 % ,56 hours
85,3791,Lv. 276,2.83 : 1,60 % ,41 hours
86,3786,Lv. 1801,1.97 : 1,40 % ,2 hours
87,3784,Lv. 102,2.52 : 1,58 % ,4 hours
88,3779,Lv. 88,3.34 : 1,64 % ,61 hours
89,3774,Lv. 3231,2.68 : 1,48 % ,146 hours
90,3766,Lv. 697,1.82 : 1,53 % ,15 hours
91,3766,Lv. 392,2.47 : 1,64 % ,22 hours
92,3757,Lv. 358,2.17 : 1,53 % ,185 hours
93,3744,Lv. 383,2.88 : 1,70 % ,5 hours
94,3743,Lv. 848,2.7 : 1,67 % ,2 hours
95,3742,Lv. 251,1.77 : 1,23 % ,5 hours
96,3736,Lv. 948,2.84 : 1,58 % ,67 hours
97,3732,Lv. 296,2.63 : 1,57 % ,19 hours
98,3731,Lv. 846,1.67 : 1,52 % ,31 hours
99,3727,Lv. 870,2.32 : 1,47 % ,17 hours
100,3722,Lv. 1569,1.83 : 1,44 % ,29 hours
